,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Volume
236,2015-12-15,7659.15,7705.0,7625.1,7700.9,138479057,6152.14,138479057.0
237,2015-12-16,7725.25,7776.6,7715.75,7750.9,159149338,6703.76,159149338.0
238,2015-12-17,7783.05,7852.9,7737.55,7844.35,181256780,7367.15,181256780.0
239,2015-12-18,7828.9,7836.15,7753.35,7761.95,197319843,8074.5,197319843.0
240,2015-12-21,7745.65,7840.75,7733.45,7834.45,130174102,5558.38,130174102.0
241,2015-12-22,7829.4,7846.3,7776.85,7786.1,129633328,5028.11,129633328.0
242,2015-12-23,7830.45,7871.45,7826.1,7865.95,121480721,4663.45,121480721.0
243,2015-12-24,7888.75,7888.75,7835.5,7861.05,96374245,3383.99,96374245.0
244,2015-12-28,7863.2,7937.2,7863.0,7925.15,126737811,5755.48,126737811.0
245,2015-12-29,7929.2,7942.15,7902.75,7928.95,116535971,4950.36,116535971.0
246,2015-12-30,7938.6,7944.75,7889.85,7896.25,110145855,4392.87,110145855.0
247,2015-12-31,7897.8,7955.55,7891.15,7946.35,155645098,6780.85,155645098.0
248,2016-01-01,7938.45,7972.55,7909.8,7963.2,64843836,2613.91,64843836.0
249,2016-01-04,7924.55,7937.55,7781.1,7791.3,138864905,5897.08,138864905.0
250,2016-01-05,7828.4,7831.2,7763.25,7784.65,149672973,5948.51,149672973.0
251,2016-01-06,7788.05,7800.95,7721.2,7741.0,151715828,6722.17,151715828.0
252,2016-01-07,7673.35,7674.95,7556.6,7568.3,194732861,7803.21,194732861.0
253,2016-01-08,7611.65,7634.1,7581.05,7601.35,162348690,6753.57,162348690.0
254,2016-01-11,7527.45,7605.1,7494.35,7563.85,194836791,7327.15,194836791.0
255,2016-01-12,7587.2,7588.3,7487.8,7510.3,168975973,7071.48,168975973.0
256,2016-01-13,7557.9,7590.95,7425.8,7562.4,221908258,9585.17,221908258.0
257,2016-01-14,7467.4,7604.8,7443.8,7536.8,206988549,9246.75,206988549.0
258,2016-01-15,7561.65,7566.5,7427.3,7437.8,203643071,8279.07,203643071.0
259,2016-01-18,7420.35,7463.65,7336.4,7351.0,240798183,8431.56,240798183.0
260,2016-01-19,7381.8,7462.75,7364.15,7435.1,194068339,7038.84,194068339.0
261,2016-01-20,7357.0,7470.9,7241.5,7309.3,232614141,8794.16,232614141.0
262,2016-01-21,7376.65,7398.7,7250.0,7276.8,248113284,9401.16,248113284.0
263,2016-01-22,7355.7,7433.4,7327.6,7422.45,236282061,7666.39,236282061.0
264,2016-01-25,7468.75,7487.15,7421.2,7436.15,168202502,5910.99,168202502.0
265,2016-01-27,7469.6,7477.9,7419.7,7437.75,193389891,6834.77,193389891.0
266,2016-01-28,7426.5,7468.85,7409.6,7424.65,283036298,10049.88,283036298.0
267,2016-01-29,7413.35,7575.65,7402.8,7563.55,307934042,11277.33,307934042.0
268,2016-02-01,7589.5,7600.45,7541.25,7555.95,206645021,8209.5,206645021.0
269,2016-02-02,7566.65,7576.3,7428.05,7455.55,237338907,8030.99,237338907.0
270,2016-02-03,7392.45,7419.4,7350.3,7361.8,197863301,6748.17,197863301.0
271,2016-02-04,7411.45,7457.05,7365.95,7404.0,229563364,7465.35,229563364.0
272,2016-02-05,7418.25,7503.15,7406.65,7489.1,257518899,8628.24,257518899.0
273,2016-02-08,7489.7,7512.55,7363.2,7387.25,176758985,5746.45,176758985.0
274,2016-02-09,7303.95,7323.45,7275.15,7298.2,218730280,7415.13,218730280.0
275,2016-02-10,7264.3,7271.85,7177.75,7215.7,254481339,8129.65,254481339.0
276,2016-02-11,7203.6,7208.65,6959.95,6976.35,301302956,9250.27,301302956.0
277,2016-02-12,7023.65,7034.8,6869.0,6980.95,344210729,11062.63,344210729.0
278,2016-02-15,7057.35,7182.8,7056.8,7162.95,365217073,10204.34,365217073.0
279,2016-02-16,7201.25,7204.65,7037.7,7048.25,261607451,7638.39,261607451.0
280,2016-02-17,7058.85,7123.7,6960.65,7108.45,268017961,7686.32,268017961.0
281,2016-02-18,7177.4,7215.1,7127.85,7191.75,254331498,8051.51,254331498.0
282,2016-02-19,7170.55,7226.85,7145.95,7210.75,198206480,6156.58,198206480.0
283,2016-02-22,7208.85,7252.4,7200.7,7234.55,159162842,5832.89,159162842.0
284,2016-02-23,7240.3,7241.7,7090.7,7109.55,200396978,6433.16,200396978.0
285,2016-02-24,7075.0,7090.8,7009.75,7018.7,205898417,6497.18,205898417.0
286,2016-02-25,7029.85,7034.2,6961.4,6970.6,291932544,9090.16,291932544.0
287,2016-02-26,7039.3,7052.9,6985.1,7029.75,213142575,6880.96,213142575.0
288,2016-02-29,7050.45,7094.6,6825.8,6987.05,487969285,15992.15,487969285.0
289,2016-03-01,7038.25,7235.5,7035.1,7222.3,283561570,9896.58,283561570.0
290,2016-03-02,7321.7,7380.35,7308.15,7368.85,348965708,10983.06,348965708.0
291,2016-03-03,7429.55,7483.95,7406.05,7475.6,287248532,9255.43,287248532.0
292,2016-03-04,7505.4,7505.9,7444.1,7485.35,290441230,8135.06,290441230.0
293,2016-03-08,7486.4,7527.15,7442.15,7485.3,264945393,8417.86,264945393.0
294,2016-03-09,7436.1,7539.0,7424.3,7531.8,252709391,9036.29,252709391.0
295,2016-03-10,7545.35,7547.1,7447.4,7486.15,231584305,8875.92,231584305.0
296,2016-03-11,7484.85,7543.95,7460.6,7510.2,204806572,7558.55,204806572.0
297,2016-03-14,7542.6,7583.7,7515.05,7538.75,172067214,6330.45,172067214.0
298,2016-03-15,7535.85,7545.2,7452.8,7460.6,199653871,7577.78,199653871.0
